城市代码	城市名称	城市级别	城市特点	经度	纬度	区域划分	区域划分代号
11110000	北京	1级	中心	116.24	39.55	东	1
11110000	北京	2级	文化	116.25	39.54	东	1
11110000	北京	1级	中心	116.31	39.55	东	1
11110000	北京	1级	中心	116.26	39.58	东	1
11110000	北京	1级	中心	116.27	39.57	东	1
11110000	北京	3级	行政	116.26	39.56	东	1
22220000	上海	1级	经济强	121.29	31.14	东	1
22220000	上海	1级	经济强	121.21	31.15	东	1
22220000	上海	1级	经济强	121.28	31.13	东	1
22220000	上海	4级	外贸	121.27	31.17	东	1
22220000	上海	4级	外贸	121.33	31.16	东	1
33330000	天津	1级	古都	117.12	39.02	东	1
33330000	天津	1级	古都	117.12	39.02	东	1
44440000	重庆	1级	山城	106.33	29.35	中	2
44440000	重庆	1级	山城	106.34	29.36	中	2
44440000	重庆	1级	扁担	106.35	29.37	中	2
44440000	重庆	1级	山城	106.36	29.38	中	2
55550000	香港	1级	经济强	115.12	21.23	东	1
66660000	澳门	1级	赌博	115.07	21.33	东	1
66660000	澳门	1级	赌博	115.08	21.34	东	1
66660000	澳门	1级	赌博	115.09	21.35	东	1
66660000	澳门	1级	赌博	115.1	21.36	东	1
77770000	台北	2级	文化	121.3	25.03	东	1
88880000	拉萨	2级	体育	91.08	29.39	西	0
99990000	武汉	2级	公共建设	114.17	30.35	东	1
111100000	黄石	3级	教学	115.06	30.12	东	1
122210000	荆门	3级	水系	112.12	31.02	东	1
133320000	丹江口	3级	河流	108.3	32.33	东	1
144430000	长沙	2级	航行	112.59	28.12	东	1
144430000	长沙	2级	航行	112.62	28.15	东	1
144430000	长沙	2级	运输	112.64	28.19	东	1
155540000	怀化	3级	旅游	109.58	27.33	东	1
166650000	广州	2级	服装	113.14	23.08	东	1
177760000	佛山	3级	电器	113.06	23.02	东	1
188870000	北海	3级	岛屿	109.07	21.28	东	1
199980000	成都	2级	美食	104.04	30.4	西	0
199980000	成都	2级	美食	104.05	30.5	西	0
199980000	成都	2级	美食	104.06	30.6	西	0
199980000	成都	2级	美食	104.07	30.7	西	0
199980000	成都	2级	美食	104.08	30.8	西	0
199980000	成都	2级	美食	104.09	30.9	西	0
211090000	宁波	2级	海鲜	121.33	29.52	西	0
222200000	西安	2级	古迹	108.57	34.17	西	0
233310000	呼和浩特	2级	羊肉	111.41	40.48	西	0
244420000	乌鲁木齐	2级	手抓饭	87.36	43.45	西	0
255530000	和田	3级	旅游	78.55	37.09	西	0
266640000	个旧	3级	旅游	103.09	23.21	中	2
266640000	个旧	3级	旅游	103.1	23.22	中	2
266640000	个旧	3级	旅游	103.11	23.23	中	2
266640000	个旧	3级	旅游	103.12	23.24	中	2
266640000	个旧	3级	旅游	103.13	23.25	中	2
266640000	个旧	3级	旅游	103.14	23.26	中	2
266640000	个旧	3级	旅游	103.15	23.27	中	2
266640000	个旧	3级	旅游	103.16	23.28	中	2
