区县,?经度,?纬度,?,,?,?,?,?,?,?,?,?,?
天安门,?116.38,?39.9?,,,,,,,,,,,
东城区,?116.42,?39.93,,,,,,,,,,,
西城区,?116.37,?39.92,,,,,,,,,,,
崇文区,?116.43,?39.88,,,,,,,,,,,
宣武区,?116.35,?39.87,,,,,,,,,,,
朝阳区,?116.43,?39.92,,,,,,,,,,,
丰台区,?116.28,?39.85,,,,,,,,,,,
通州区,?114.52,?39.92,,,,,,,,,,,
顺义区,?114.05,?40.13,,,,,,,,,,,
怀柔区,?119.6,?40.32,,,,,,,,,,,
平谷区,?119.77,?40.13,,,,,,,,,,,
密云县,?119.48,?40.37,,,,,,,,,,,
津南区,?114.88,?38.98,,,,,,,,,,,
北辰区,?115.27,?39.22,,,,,,,,,,,
桥西区,?112.57,?37.05,,,,,,,,,,,
桥西区,?112.48,?40.83,,,,,,,,,,,
桥西区,?112.52,?38.03,,,,,,,,,,,
新华区,?114.47,?38.05,,,,,,,,,,,
新华区,?116.87,?38.32,,,,,,,,,,,
裕华区,?114.52,?38.02,,,,,,,,,,,
井陉县,?114.13,?38.03,,,,,,,,,,,
正定县,?114.57,?38.15,,,,,,,,,,,
栾城县,?114.65,?37.88,,,,,,,,,,,
行唐县,?114.55,?38.43,,,,,,,,,,,
灵寿县,?114.37,?38.3?,,,,,,,,,,,
赞皇县,?114.38,?37.67,,,,,,,,,,,
无极县,?114.97,?38.18,,,,,,,,,,,
元氏县,?114.52,?37.75,,,,,,,,,,,
辛集市,?118.7,?37.92,,,,,,,,,,,
藁城市,?114.83,?38.03,,,,,,,,,,,
晋州市,?115.03,?38.03,,,,,,,,,,,
新乐市,?114.68,?38.35,,,,,,,,,,,
路南区,?118.17,?39.63,,,,,,,,,,,
路北区,?118.22,?39.63,,,,,,,,,,,
古冶区,?118.42,?39.73,,,,,,,,,,,
开平区,?118.27,?39.68,,,,,,,,,,,
丰润区,?118.17,?39.83,,,,,,,,,,,
滦南县,?118.68,?39.5?,,,,,,,,,,,
迁西县,?118.32,?40.15,,,,,,,,,,,
玉田县,?117.73,?39.88,,,,,,,,,,,
唐海县,?118.45,?39.27,,,,,,,,,,,
遵化市,?117.95,?40.18,,,,,,,,,,,
昌黎县,?119.17,?39.7?,,,,,,,,,,,
抚宁县,?119.23,?39.88,,,,,,,,,,,
卢龙县,?118.87,?39.88,,,,,,,,,,,
邯郸市,?114.48,?36.62,,,,,,,,,,,
邯山区,?114.48,?36.6?,,,,,,,,,,,
丛台区,?114.48,?36.63,,,,,,,,,,,
复兴区,?114.45,?36.63,,,,,,,,,,,
邯郸县,?114.53,?36.6?,,,,,,,,,,,
临漳县,?114.62,?36.35,,,,,,,,,,,
成安县,?114.68,?36.43,,,,,,,,,,,
大名县,?115.15,?36.28,,,,,,,,,,,
永年县,?114.48,?36.78,,,,,,,,,,,
鸡泽县,?114.87,?36.92,,,,,,,,,,,
广平县,?114.93,?36.48,,,,,,,,,,,
曲周县,?114.95,?36.78,,,,,,,,,,,
邢台市,?114.48,?37.07,,,,,,,,,,,
桥西区,?114.87,?40.83,,,,,,,,,,,
桥西区,?114.47,?38.03,,,,,,,,,,,
桥西区,?114.47,?37.05,,,,,,,,,,,
内丘县,?114.52,?37.3?,,,,,,,,,,,
柏乡县,?114.68,?37.5?,,,,,,,,,,,
隆尧县,?114.77,?37.35,,,,,,,,,,,
南和县,?114.68,?37.0?,,,,,,,,,,,
宁晋县,?114.92,?37.62,,,,,,,,,,,
巨鹿县,?115.03,?37.22,,,,,,,,,,,
新河县,?115.25,?37.53,,,,,,,,,,,
广宗县,?115.15,?37.07,,,,,,,,,,,
平乡县,?115.03,?37.07,,,,,,,,,,,
清河县,?115.67,?37.07,,,,,,,,,,,
南宫市,?115.38,?37.35,,,,,,,,,,,
保定市,?115.47,?38.87,,,,,,,,,,,
新市区,?115.45,?38.87,,,,,,,,,,,
北市区,?115.48,?38.87,,,,,,,,,,,
满城县,?115.32,?38.95,,,,,,,,,,,
清苑县,?115.48,?38.77,,,,,,,,,,,
涞水县,?115.72,?39.4?,,,,,,,,,,,
阜平县,?114.18,?38.85,,,,,,,,,,,
徐水县,?115.65,?39.02,,,,,,,,,,,
定兴县,?115.77,?39.27,,,,,,,,,,,
高阳县,?115.78,?38.68,,,,,,,,,,,
容城县,?115.87,?39.05,,,,,,,,,,,
涞源县,?114.68,?39.35,,,,,,,,,,,
望都县,?115.15,?38.72,,,,,,,,,,,
安新县,?115.93,?38.92,,,,,,,,,,,
顺平县,?115.13,?38.83,,,,,,,,,,,
博野县,?115.47,?38.45,,,,,,,,,,,
涿州市,?115.97,?39.48,,,,,,,,,,,
定州市,?114.97,?38.52,,,,,,,,,,,
安国市,?115.32,?38.42,,,,,,,,,,,
桥西区,?114.87,?40.83,,,,,,,,,,,
桥西区,?114.47,?38.03,,,,,,,,,,,
桥西区,?114.47,?37.05,,,,,,,,,,,
宣化区,?115.05,?40.6?,,,,,,,,,,,
宣化县,?115.02,?40.55,,,,,,,,,,,
康保县,?114.62,?41.85,,,,,,,,,,,
尚义县,?113.97,?41.08,,,,,,,,,,,
阳原县,?114.17,?40.12,,,,,,,,,,,
怀安县,?114.42,?40.67,,,,,,,,,,,
万全县,?114.72,?40.75,,,,,,,,,,,
怀来县,?115.52,?40.4?,,,,,,,,,,,
涿鹿县,?115.22,?40.38,,,,,,,,,,,
赤城县,?115.83,?40.92,,,,,,,,,,,
崇礼县,?115.27,?40.97,,,,,,,,,,,
承德市,?117.93,?40.97,,,,,,,,,,,
双桥区,?117.93,?40.97,,,,,,,,,,,
双滦区,?117.78,?40.95,,,,,,,,,,,
承德县,?118.17,?40.77,,,,,,,,,,,
兴隆县,?117.52,?40.43,,,,,,,,,,,
平泉县,?118.68,?41.0?,,,,,,,,,,,
滦平县,?117.33,?40.93,,,,,,,,,,,
隆化县,?117.72,?41.32,,,,,,,,,,,
沧州市,?116.83,?38.3?,,,,,,,,,,,
新华区,?114.47,?38.05,,,,,,,,,,,
新华区,?116.87,?38.32,,,,,,,,,,,
运河区,?116.85,?38.32,,,,,,,,,,,
东光县,?116.53,?37.88,,,,,,,,,,,
海兴县,?117.48,?38.13,,,,,,,,,,,
盐山县,?117.22,?38.05,,,,,,,,,,,
肃宁县,?115.83,?38.43,,,,,,,,,,,
吴桥县,?116.38,?37.62,,,,,,,,,,,
泊头市,?116.57,?38.07,,,,,,,,,,,
黄骅市,?117.35,?38.37,,,,,,,,,,,
河间市,?116.08,?38.43,,,,,,,,,,,
安次区,?116.68,?39.52,,,,,,,,,,,
广阳区,?116.72,?39.53,,,,,,,,,,,
大城县,?116.63,?38.7?,,,,,,,,,,,
文安县,?116.47,?38.87,,,,,,,,,,,
三河市,?117.07,?39.98,,,,,,,,,,,
衡水市,?115.68,?37.73,,,,,,,,,,,
桃城区,?115.68,?37.73,,,,,,,,,,,
枣强县,?115.72,?37.52,,,,,,,,,,,
武邑县,?115.88,?37.82,,,,,,,,,,,
武强县,?115.98,?38.03,,,,,,,,,,,
饶阳县,?115.73,?38.23,,,,,,,,,,,
安平县,?115.52,?38.23,,,,,,,,,,,
故城县,?115.97,?37.35,,,,,,,,,,,
阜城县,?116.15,?37.87,,,,,,,,,,,
冀州市,?115.57,?37.57,,,,,,,,,,,
深州市,?115.55,?38.02,,,,,,,,,,,
太原市,?112.55,?37.87,,,,,,,,,,,
小店区,?112.57,?37.73,,,,,,,,,,,
迎泽区,?112.57,?37.87,,,,,,,,,,,
晋源区,?112.48,?37.73,,,,,,,,,,,
清徐县,?112.35,?37.6?,,,,,,,,,,,
阳曲县,?112.67,?38.07,,,,,,,,,,,
娄烦县,?111.78,?38.07,,,,,,,,,,,
古交市,?112.17,?37.92,,,,,,,,,,,
南郊区,?113.13,?40.0?,,,,,,,,,,,
新荣区,?113.15,?40.27,,,,,,,,,,,
阳高县,?113.75,?40.37,,,,,,,,,,,
天镇县,?114.08,?40.42,,,,,,,,,,,
广灵县,?114.28,?39.77,,,,,,,,,,,
灵丘县,?114.23,?39.43,,,,,,,,,,,
浑源县,?113.68,?39.7?,,,,,,,,,,,
